Restaurant Name,Description,URL,Speed class
Cava,"""Mediterranean Chipotle"": customizable greens & grains bowls, pitas & salad.",https://maps.google.com/?cid=5978598615302083808,Fast
Chipotle,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.",https://maps.google.com/?cid=1778390967182104041,Fast
Comoncy,Comoncy is a fast-casual lunch and brunch restaurant. Everyone at Mango hates it.,https://maps.app.goo.gl/vqQVawRNcQmt9emb9,
Emporium Thai,"Colorful restaurant serving specialties from Southern Thailand, including curry & noodle dishes.",https://maps.google.com/?cid=7504991571260366390,Medium
Fresh Corn Grill,"Modern counter-serve eatery with a diverse menu of health-oriented grill options, pizzas & tacos.",https://maps.google.com/?cid=4092716099434564958,Medium
ixlb,Soup dumplings,https://maps.google.com/?cid=3725200563269869078,Medium
Maharaja,"Classic Indian fare including vegetarian items, offered in a straightforward storefront space.",https://maps.google.com/?cid=4633965644035227560,
Naab Cafe,"A wide variety of Mediterranean entrees, salads & desserts are offered in this low-key dining space.",https://maps.google.com/?cid=3875512920662995914,
Northern Cafe Dumpling,,https://maps.google.com/?cid=14612184185492652745,
Nuka Cafe,Turkish ,https://maps.google.com/?cid=8650830546686019952,Fast
Poke Me,Poke. Very close to the office.,https://maps.app.goo.gl/KfiALrTdAzNU4qiv5?g_st=ic,Fast
Prince of Venice,"Pizzas and pasta, with a nice outdoor courtyard.",https://maps.google.com/?cid=10241430217026614408,Slow
Sweetfin,"Poke. Pretty good, but small portions.",https://maps.google.com/?cid=6103318291609205873,Fast
The French Way,"Strongly disliked by the team. ""French tacos"": giant wraps filled with greasy fried foods.",https://maps.app.goo.gl/ZE9bhbXNKrytzTKf7,Medium
Westwood Thai Cafe,"Traditional Thai dishes & Chinese specialties served in a cozy, modest space.",https://maps.google.com/?cid=2780121691610189127,
Flame Persian Cuisine,Traditional dining room offering Persian specialties like freshly baked flatbreads & kebabs.,https://maps.google.com/?cid=3725720370678952918,
Tocaya,California-style mexican,https://maps.google.com/?cid=2998250788791374138,Medium
Tulsi Indian,Indian eatery with robot servers.,https://maps.google.com/?cid=408586312225206931,
Jersey Mikes,New Jersey–based counter-serve sandwich chain serving jumbo subs filled with cold cuts & toppings.,https://maps.google.com/?cid=3136376375925462796,
Wolfsglen,Burgers and other American fair. Nightclub-like vibe with a vaulted ceiling.,https://maps.google.com/?cid=1937903711825628203,Slow
SanSai Japanese Grill,Casual counter-serve chain for health-minded Asian fare from made-to-order sushi rolls to salads.,https://maps.google.com/?cid=1145266758745516110,
Lulu,"Conceived with legendary chef and food activist Alice Waters and led by acclaimed chef, writer, and cookbook author David Tanis, Lulu is a shared celebration of good food that is good for the planet.",https://maps.google.com/?cid=3334160510347307293,Slow
Tender Greens,"Modern, cafeteria-style chain serving area-sourced, globally influenced plates, sandwiches & salads.",https://maps.google.com/?cid=6199247539989731293,Medium
Kazu Nori,Stylish restaurant with an industrial vibe specializing in Japanese seafood rolls. Mango's favorite.,https://maps.google.com/?cid=4646603093368949652,Slow
Egg Tuck,"Egg sandwiches ""tucked"" into half-sliced bread.",https://maps.google.com/?cid=3467136304593321162,Medium
PokeTomik,"Unappetizing poke. Their signature poke-ritto is wrapped in hot cheeto dust. Their branding includes the tagline ""raw explosion"", which seems a little too honest...",https://maps.app.goo.gl/ouspKwEVd6NCiwsS9,
Tacos 1986,TACOS 1986 BRINGS SOME OF THE PUREST FLAVORS OF TIJUANA STREET FOOD TO LA. No sitting tables; standing tables outside.,https://maps.app.goo.gl/uzdH5yRUp4oQaC64A,Fast
House of Meatballs,"Casual Italian eatery focusing on meatballs (with chicken & vegetarian options), plus beer & wine.",https://maps.google.com/?cid=13991344549854973701,Slow
Wildbird,Fried chicken,https://maps.google.com/?cid=2788226165049865982,
Fresh Thai,"Thai curries, noodles & rice dishes provided in a cozy space with plank walls & old photos.",https://maps.google.com/?cid=9055712495481105822,
Gogobop,Counter-service Korean rice bowls. Feels like a Korean Chipotle.,https://maps.app.goo.gl/z1VJ69YCMMjfD3oT8,
Frida Mexican,Colorful restaurant offering sophisticated Mexican dishes. Very wobbly wooden tables.,https://maps.google.com/?cid=16624715245277943126,
Toranj,Traditional kebabs & stews served in an elegant dining room.,https://maps.google.com/?cid=8075987429803985109,
California Pizza Kitchen,"Chain eatery serving up inventive pizzas, plus pastas & salads in a modern setting.",https://maps.google.com/?cid=883067411102998489,Medium
Fat Sal's,"Counter-serve chain featuring large sandwiches and fries. Small, black building with outdoor seating in a parking lot. ",https://maps.google.com/?cid=6982519181400471119,Fast
Dominos,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,https://maps.google.com/?cid=11817532894757139997,Fast
Delphi Greek,Comfortable restaurant with a white-washed stucco look serving Greek classics since 1985.,https://maps.google.com/?cid=4306982516126162129,
Sweetgreen,Locavore-friendly counter-serve chain specializing in organic salads & bowls.,https://maps.google.com/?cid=7805877014764491723,Fast
Café Glacé,"Compact, family-run shop selling Persian-style pizzas, sandwiches & ice cream till late.",https://maps.google.com/?cid=2122948928027456326,
Attari Sandwich Shop,Persian eatery for traditional cuisine serving specialty sandwiches & kebabs in modest digs.,https://maps.google.com/?cid=13523717277562799051,
In'n'out,"Classic burger chain serving customizable burgers, hand-cut fries & shakes.",https://maps.google.com/?cid=9567048573254600418,Fast
Violet Cafe,Upscale French restaurant with a charming ivy and brick courtyard.,https://maps.google.com/?cid=6458807272558679656,
Northern Cafe Noodle,Counter service noodles and dumplings,https://maps.google.com/?cid=9289480121971761545,
Chick-fil-a,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides.,https://maps.google.com/?cid=14172284357689809191,
Qin West,"Laid-back eatery specializing in Shaanxi/Guilin Chinese food, serves up spicy cold mung bean salad.",https://maps.google.com/?cid=17641853055665168443,
Shamshiri Grill,"Persian specialties, including kebabs, rice dishes & classic stews, in a homey environment.",https://maps.google.com/?cid=15161165107636951121,
Mary and Robb's Westwood Cafe,"Veteran spot with a contemporary vibe doing American diner classics, including breakfast all day.",https://maps.google.com/?cid=17130047148645854585,
Gushi,"Ample portions of Seoul-style BBQ & teriyaki star at an unfussy, walk-up stand with outdoor seats.",https://maps.google.com/?cid=9099157580069158016,
Ami Sushi,"Vibrant, sleek spot with warm tones & sidewalk seats offering sushi plus noodle bowls & bento boxes.",https://maps.google.com/?cid=293104670428781856,
Lamonica's NY Pizza,The slices & pies are made with dough from Brooklyn. The inside is decorated like a NY subway.,https://maps.google.com/?cid=17074728617537643889,
Falafel Inc,,https://maps.google.com/?cid=11908615051669625181,
Mr Noodle,,https://maps.google.com/?cid=14963342017327389654,
Hibachi Papi,"Very oily wok-fired foods. Not recommended. Has a big neon sign that says ""who's your papi?""",https://maps.google.com/?cid=2953961158353776124,
Cravings,"Breakfast, Lunch, Kabobs, Burgers, Salads, Sandwiches, Coffee, Snacks, Quick bites.",https://maps.google.com/?cid=3237432045065447826,
Nick the Greek,Fast-casual gyros and fries.,https://maps.google.com/?cid=2702244501680626783,Fast
Bollywood Bites,"Vegetable wraps, kebabs & curries are featured at this snug spot for Bombay-style Indian fare. Decorated with photos of local celebrities.",https://maps.google.com/?cid=8835446108344841418,
First Szechuan Wok,American-style Chinese restaurant focusing on standard take-out dishes. Stephen Steger likes orange chicken.,https://maps.google.com/?cid=17874637386129853592,
Le Pain Quotidien,Classic light fare & organic breads fill out the menu at this rustic-chic bakery/cafe chain.,https://maps.google.com/?cid=10381472306961924209,
Enzo's Pizzeria,"Classic pizzeria with a laid-back vibe dishing up thin-crust pies, plus calzones, pasta & heros.",https://maps.google.com/?cid=2528065742802913581,
Noah's Bagel,Counter-serve chain specializing in bagels. Also sells breakfast sandwiches & pastries.,https://maps.google.com/?cid=17773449329481438288,Fast
Taco Bell,"Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.",https://maps.google.com/?cid=5888328642287253538,Fast
Barney's Beanery,"Colorful, buzzing sports bar & grill serving up numerous chili options & other casual pub fare.",https://maps.google.com/?cid=1975314492352778440,
Papa John's,This particular Papa John's displays a terrifying pizza mascot in the window.,https://maps.app.goo.gl/cyAmsn1tZzQ161aPA,
Pinches Tacos,"Local Mexican chain serving tacos, burritos, tortas & more in a casual, colorful setting.",https://maps.google.com/?cid=5961393673711794681,Medium
Northern Cafe Hotpot,Individual Chinese hotpots in a nicely-decorated environment.,https://maps.google.com/?cid=12296721664106254060,
Trimana,"Casual joint for breakfast, burritos, and sandwiches.",https://maps.google.com/?cid=12135755635292092909,
Kreation,Hipster joint for fresh juices and light fare.,https://maps.google.com/?cid=7807364449589251254,
Italian Express,"Busy venue with late-night hours serving pizza, pasta & salads in a brick-walled storefront.",https://maps.google.com/?cid=15822588747045763726,
Bella Pita,"Pita sandwiches with a patented process, the Wowshi™",https://maps.google.com/?cid=13066123948088094418,
Bristol Farms,Deli serving hot and cold foods in a supermarket.,https://maps.app.goo.gl/14P6aX4ji9D9aFfq6,Fast
Double Take: Kimpton,Film-inspired restaurant with new American fair. Decorated with set lighting and scaffolds.,https://maps.google.com/?cid=14995063938442071822,
Starbucks,Coffeehouse chain known for its signature roasts and light bites.,https://maps.google.com/?cid=3846357884776902340,Fast
Sunnin Lebanese,"Traditional Lebanese fare, including kebabs & hummus, served in an unassuming, informal atmosphere.",https://maps.google.com/?cid=2246894902266280517,
Hangry Moon,Chicken and fries,https://maps.google.com/?cid=8438438637152677599,
Monkey King Brewing,A beer and burger bar inside of 99 Ranch.,https://www.yelp.com/biz/99-ranch-market-los-angeles,Fast
99 Ranch Hot Deli,"A Chinese deli selling BBQ pork, baby back ribs and a small selection of stir-fries, fried rice and vegetable sides.",https://www.yelp.com/biz/99-ranch-market-los-angeles,Fast
The Boiling Crab,"Casual small chain offering boiled-in-bag Cajun-spiced crawfish, oysters, shrimp & other shellfish.",https://maps.app.goo.gl/qF5XoSQYqDzrvVMQ7,Slow
Denny's,"A run-down diner that is only appropriate on long road trips or similar circumstances of desperation. Bits of pancake can be found wedged between the seat cushions. Jonny's favorite, though.",https://maps.app.goo.gl/uFJXZMMPSniKAtLs9,
Broxton Brewery & Public House,Burgers and brews in an iconic domed building. EXTREMELY SLOW SERVICE!,https://maps.app.goo.gl/mK3vQyvnA75MhPa78,
Lima Nikkei Hand Rolls,Hand rolls with layers of Peruvian sauces and spices. In 99 Ranch.,https://g.co/kgs/VXHBwSw,
Fatburger,Long-running LA-based chain serving burgers and other classic fast-food options.,https://maps.app.goo.gl/dePHNxeSRs8HEesK6,
Lazy Daisy,Cafe serving classic brunch and Mexican dishes,https://maps.app.goo.gl/9DxdCGuFEnabm7qL7,
Elysee,"Bakery offering homemade pastries, baked goods & cafe menu with breakfast & lunch items. A favorite of Sophia's.",https://maps.app.goo.gl/QnnW1ueCfkSmJPbc8,
Subway,Counter-serve chain for foot-long sandwiches.,https://maps.app.goo.gl/xPseide1HXyv4KNA8,
Mr. Rice,"番茄肥牛, 猪脚饭, 火锅!",https://maps.app.goo.gl/jW68KqNQwrvT2vQYA,